rstk__icitem__c,Id,Part Num,,"Select rstk__externalid__c , Id from rstk__icitem__c Where rstk__icitem_div__r.Name like '%Bodies%' and rstk__externalid__c in ('STB_300-70031',",rstk__icitem_invuom,rstk__icitem_ltmfgwoshopflr__c,rstk__icitem_sspolqty__c,rstk__icitem_mrpminqty__c,rstk__icitem_mrpmaxqty__c,rstk__icitem_mrpminqtyind__c,rstk__icitem_mrpmaxqtyind__c,rstk__icitem_sspolqtyind__c,rstk__icitem_ltmfgwoshopflrind__c,,,,,,,,,,,
,a2um0000001YdxRAAS,800-52093,STB_800-52093,"'STB_800-52093',",EA,14,3,10,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxSAAS,800-52277,STB_800-52277,"'STB_800-52277',",EA,14,5,5,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YY6wAAG,800-51484,STB_800-51484,"'STB_800-51484',",EA,0,4,,,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
,a2um0000001YY6xAAG,800-50931,STB_800-50931,"'STB_800-50931',",EA,14,5,10,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YYC8AAO,800-95817,STB_800-95817,"'STB_800-95817',",EA,35,400,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YYC9AAO,800-95815,STB_800-95815,"'STB_800-95815',",EA,35,100,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YYCAAA4,800-95816,STB_800-95816,"'STB_800-95816',",EA,35,300,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YYCBAA4,800-95814,STB_800-95814,"'STB_800-95814',",EA,35,20,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YYCCAA4,800-95813,STB_800-95813,"'STB_800-95813',",EA,35,300,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YYCDAA4,800-95812,STB_800-95812,"'STB_800-95812',",EA,35,100,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
